Year|Fiscal_Mo|Segment_Channel|Year_Number|Month_Number|percent
2018|1|Existing_Direct1|54120|96205|0.5625487
2018|1|Existing_Omni|101377|14800|6.849797
2018|1|Existing_Retail1|71512|116009|0.6164349
2018|1|NTB_Direct1|5526|6452|0.8564786
2018|1|NTB_Omni|2651|420|6.311905
2018|1|NTB_Retail1|9761|11061|0.88247
2018|1|React_Direct1|9650|12078|0.7989733
2018|1|React_Omni|6217|794|7.829975
2018|1|React_Retail1|16519|19514|0.8465204
2018|2|Existing_Direct1|62152|140719|0.4416745
2018|2|Existing_Omni|95135|35477|2.681597
2018|2|Existing_Retail1|90025|181204|0.4968157
2018|2|NTB_Direct1|12170|14017|0.8682314
2018|2|NTB_Omni|5637|1326|4.251131
2018|2|NTB_Retail1|19244|21707|0.8865343
2018|2|React_Direct1|18598|22596|0.8230661
2018|2|React_Omni|11243|2303|4.881893
2018|2|React_Retail1|31198|36124|0.8636364
2018|3|Existing_Direct1|31342|108469|0.2889489
2018|3|Existing_Omni|40356|22859|1.765432
2018|3|Existing_Retail1|52339|158611|0.3299834
2018|3|NTB_Direct1|10770|12221|0.8812699
2018|3|NTB_Omni|4512|970|4.651546
2018|3|NTB_Retail1|16753|18842|0.8891307
2018|3|React_Direct1|15439|18629|0.8287616
2018|3|React_Omni|9108|1695|5.373451
2018|3|React_Retail1|27654|31851|0.8682302
2018|4|Existing_Direct1|27635|118741|0.2327334
2018|4|Existing_Omni|30115|26641|1.130401
2018|4|Existing_Retail1|47532|181716|0.261573
2018|4|NTB_Direct1|13001|14621|0.8892004
2018|4|NTB_Omni|5185|1266|4.095577
2018|4|NTB_Retail1|20183|22482|0.8977404
2018|4|React_Direct1|17570|20496|0.8572404
2018|4|React_Omni|9255|2000|4.6275
2018|4|React_Retail1|33224|37501|0.8859497
2018|5|Existing_Direct1|22988|134203|0.1712927
2018|5|Existing_Omni|20162|31747|0.6350836
2018|5|Existing_Retail1|35494|176659|0.2009182
2018|5|NTB_Direct1|10411|11592|0.8981194
2018|5|NTB_Omni|4358|1373|3.174071
2018|5|NTB_Retail1|19296|21101|0.914459
2018|5|React_Direct1|16461|19022|0.8653664
2018|5|React_Omni|8281|2273|3.643203
2018|5|React_Retail1|32704|36074|0.9065809
2018|6|Existing_Direct1|14150|117295|0.120636
2018|6|Existing_Omni|9891|24151|0.4095483
2018|6|Existing_Retail1|21184|149167|0.1420153
2018|6|NTB_Direct1|6791|7548|0.8997085
2018|6|NTB_Omni|2703|733|3.687585
2018|6|NTB_Retail1|15935|17150|0.9291545
2018|6|React_Direct1|12274|14001|0.8766516
2018|6|React_Omni|5303|1357|3.907885
2018|6|React_Retail1|25350|27513|0.9213826
2018|7|Existing_Direct1|9732|106799|9.112445e-002
2018|7|Existing_Omni|5998|20003|0.299855
2018|7|Existing_Retail1|14916|138183|0.1079438
2018|7|NTB_Direct1|6500|7169|0.9066815
2018|7|NTB_Omni|2263|644|3.513975
2018|7|NTB_Retail1|13567|14517|0.9345595
2018|7|React_Direct1|11706|13151|0.8901224
2018|7|React_Omni|4320|996|4.337349
2018|7|React_Retail1|22528|24365|0.924605
2018|8|Existing_Direct1|9948|119075|8.354399e-002
2018|8|Existing_Omni|5765|28604|0.2015452
2018|8|Existing_Retail1|15703|177218|8.860838e-002
2018|8|NTB_Direct1|10593|11451|0.9250721
2018|8|NTB_Omni|3053|974|3.134497
2018|8|NTB_Retail1|16092|17316|0.929314
2018|8|React_Direct1|17366|19194|0.9047619
2018|8|React_Omni|6364|1997|3.18678
2018|8|React_Retail1|29469|31921|0.9231853
2018|9|Existing_Direct1|6186|95647|6.467532e-002
2018|9|Existing_Omni|3057|18495|0.1652879
2018|9|Existing_Retail1|9823|150896|6.509782e-002
2018|9|NTB_Direct1|10117|10897|0.9284207
2018|9|NTB_Omni|2449|679|3.606775
2018|9|NTB_Retail1|12779|13768|0.9281667
2018|9|React_Direct1|15820|17378|0.9103464
2018|9|React_Omni|4843|1371|3.532458
2018|9|React_Retail1|24634|26464|0.9308494
2018|10|Existing_Direct1|8008|143952|5.562966e-002
2018|10|Existing_Omni|2737|31156|8.784825e-002
2018|10|Existing_Retail1|9471|162623|5.823899e-002
2018|10|NTB_Direct1|17791|18905|0.9410738
2018|10|NTB_Omni|2762|1001|2.759241
2018|10|NTB_Retail1|17293|17941|0.9638816
2018|10|React_Direct1|24174|26216|0.9221087
2018|10|React_Omni|5255|1862|2.822234
2018|10|React_Retail1|30262|31482|0.9612477
2018|11|Existing_Direct1|4568|130939|3.488648e-002
2018|11|Existing_Omni|1154|32784|3.52001e-002
2018|11|Existing_Retail1|8453|196778|4.295704e-002
2018|11|NTB_Direct1|16990|17364|0.9784612
2018|11|NTB_Omni|1862|1137|1.637643
2018|11|NTB_Retail1|28645|28997|0.9878608
2018|11|React_Direct1|21972|22674|0.9690394
2018|11|React_Omni|3717|2271|1.636724
2018|11|React_Retail1|46916|47485|0.9880173
2018|12|Existing_Direct1|837|106926|7.827844e-003
2018|12|Existing_Omni|96|17952|5.347594e-003
2018|12|Existing_Retail1|1107|121813|9.0877e-003
2018|12|NTB_Direct1|6753|6753|1
2018|12|NTB_Omni|413|413|1
2018|12|NTB_Retail1|11990|11990|1
2018|12|React_Direct1|11455|11400|1.004825
2018|12|React_Omni|862|856|1.007009
2018|12|React_Retail1|19566|19465|1.005189
