FISCAL_YR,FISCAL_QTR,FISCAL_MO,Segment,circ_score
2014,1,1,Existing,1249017
2014,1,1,NTB,130520.7
2014,1,1,React,158316.1
2014,1,2,Existing,2851465
2014,1,2,NTB,1070279
2014,1,2,React,685439.3
2014,1,3,Existing,2226094
2014,1,3,NTB,1498003
2014,1,3,React,720437.6
2014,2,4,Existing,2297714
2014,2,4,NTB,1308934
2014,2,4,React,891794
2014,2,5,Existing,2911988
2014,2,5,NTB,1700970
2014,2,5,React,878059.2
2014,2,6,Existing,1376742
2014,2,6,NTB,113113.8
2014,2,6,React,217936.7
2014,3,7,Existing,1531571
2014,3,7,NTB,133669.5
2014,3,7,React,200190.9
2014,3,8,Existing,2431490
2014,3,8,NTB,1148831
2014,3,8,React,802680.5
2014,3,9,Existing,2134490
2014,3,9,NTB,1131795
2014,3,9,React,1031482
2014,4,10,Existing,2138948
2014,4,10,NTB,1147600
2014,4,10,React,987009
2014,4,11,Existing,3333906
2014,4,11,NTB,1010204
2014,4,11,React,894515.6
2014,4,12,Existing,1819512
2014,4,12,NTB,28185.13
2014,4,12,React,168227.4
2015,1,1,Existing,1669255
2015,1,1,NTB,342975.8
2015,1,1,React,325686.3
2015,1,2,Existing,2989548
2015,1,2,NTB,1665239
2015,1,2,React,930764.8
2015,1,3,Existing,2281168
2015,1,3,NTB,1591040
2015,1,3,React,685712.9
2015,2,4,Existing,2326464
2015,2,4,NTB,1987499
2015,2,4,React,1030221
2015,2,5,Existing,3137699
2015,2,5,NTB,2455753
2015,2,5,React,928305
2015,2,6,Existing,1479984
2015,2,6,NTB,346276.9
2015,2,6,React,244863.6
2015,3,7,Existing,1666861
2015,3,7,NTB,229349.9
2015,3,7,React,213228.2
2015,3,8,Existing,2679312
2015,3,8,NTB,1381124
2015,3,8,React,841673.4
2015,3,9,Existing,2237033
2015,3,9,NTB,952317.6
2015,3,9,React,582501.1
2015,4,10,Existing,2354668
2015,4,10,NTB,1705797
2015,4,10,React,1043404
2015,4,11,Existing,3870083
2015,4,11,NTB,1915131
2015,4,11,React,1467207
2015,4,12,Existing,2128381
2015,4,12,NTB,417835.5
2015,4,12,React,322110.6
2016,1,1,Existing,1879049
2016,1,1,NTB,302575.7
2016,1,1,React,340642.3
2016,1,2,Existing,3271924
2016,1,2,NTB,1588114
2016,1,2,React,1087049
2016,1,3,Existing,2598115
2016,1,3,NTB,2192137
2016,1,3,React,939278.4
2016,2,4,Existing,2656486
2016,2,4,NTB,2651052
2016,2,4,React,1129405
2016,2,5,Existing,2920908
2016,2,5,NTB,2964139
2016,2,5,React,1072088
2016,2,6,Existing,2248115
2016,2,6,NTB,722292.9
2016,2,6,React,426519.7
2016,3,7,Existing,2007718
2016,3,7,NTB,440930.2
2016,3,7,React,445138
2016,3,8,Existing,3048741
2016,3,8,NTB,2083281
2016,3,8,React,1136969
2016,3,9,Existing,2554350
2016,3,9,NTB,2339651
2016,3,9,React,1159080
2016,4,10,Existing,2695001
2016,4,10,NTB,2716444
2016,4,10,React,1308367
2016,4,11,Existing,4407611
2016,4,11,NTB,2506070
2016,4,11,React,1595684
2016,4,12,Existing,2432030
2016,4,12,NTB,368475.9
2016,4,12,React,320489.5
2017,1,1,Existing,1065660
2017,1,1,NTB,87375.87
2017,1,1,React,103417
2017,1,2,Existing,3316253
2017,1,2,NTB,1606713
2017,1,2,React,864010.4
2017,1,3,Existing,2858679
2017,1,3,NTB,2291710
2017,1,3,React,828183.3
2017,2,4,Existing,2855004
2017,2,4,NTB,2885128
2017,2,4,React,975759.4
2017,2,5,Existing,3103852
2017,2,5,NTB,3487079
2017,2,5,React,937746.3
2017,2,6,Existing,2512687
2017,2,6,NTB,1022362
2017,2,6,React,440588.3
2017,3,7,Existing,2673212
2017,3,7,NTB,924869.9
2017,3,7,React,688833.6
2017,3,8,Existing,2780220
2017,3,8,NTB,2287038
2017,3,8,React,1120626
2017,3,9,Existing,3036895
2017,3,9,NTB,2836346
2017,3,9,React,1391274
2017,4,10,Existing,3568167
2017,4,10,NTB,3634170
2017,4,10,React,1598738
2017,4,11,Existing,5013958
2017,4,11,NTB,3067582
2017,4,11,React,1344946
2017,4,12,Existing,2389851
2017,4,12,NTB,499264.9
2017,4,12,React,288494.8
2018,1,1,Existing,2422197
2018,1,1,NTB,374941.2
2018,1,1,React,351695
2018,1,2,Existing,3799239
2018,1,2,NTB,2465779
2018,1,2,React,1189429
2018,1,3,Existing,2801720
2018,1,3,NTB,2577092
2018,1,3,React,1009676
2018,2,4,Existing,2759887
2018,2,4,NTB,3112843
2018,2,4,React,1074596
2018,2,5,Existing,2870147
2018,2,5,NTB,2789887
2018,2,5,React,924501.2
2018,2,6,Existing,2193192
2018,2,6,NTB,506388.2
2018,2,6,React,373109.5
2018,3,7,Existing,2626983
2018,3,7,NTB,493708.3
