FISCAL_YR,FISCAL_MO,FISCAL_QTR,Segment_Channel,monthly_customers,Grain
2016,1,1,Existing_Direct1,4730,Month
2016,1,1,Existing_Omni,1300,Month
2016,1,1,Existing_Retail1,6284,Month
2016,1,1,NTB_Direct1,1782,Month
2016,1,1,NTB_Omni,147,Month
2016,1,1,NTB_Retail1,4548,Month
2016,1,1,React_Direct1,81646,Month
2016,1,1,React_Omni,12063,Month
2016,1,1,React_Retail1,102801,Month
2016,2,1,Existing_Direct1,36324,Month
2016,2,1,Existing_Omni,12160,Month
2016,2,1,Existing_Retail1,46781,Month
2016,2,1,NTB_Direct1,2894,Month
2016,2,1,NTB_Omni,250,Month
2016,2,1,NTB_Retail1,6603,Month
2016,2,1,React_Direct1,82604,Month
2016,2,1,React_Omni,14060,Month
2016,2,1,React_Retail1,123553,Month
2016,3,1,Existing_Direct1,56533,Month
2016,3,1,Existing_Omni,13901,Month
2016,3,1,Existing_Retail1,73273,Month
2016,3,1,NTB_Direct1,3169,Month
2016,3,1,NTB_Omni,241,Month
2016,3,1,NTB_Retail1,6799,Month
2016,3,1,React_Direct1,56603,Month
2016,3,1,React_Omni,6887,Month
2016,3,1,React_Retail1,86911,Month
2016,4,2,Existing_Direct1,68781,Month
2016,4,2,Existing_Omni,15326,Month
2016,4,2,Existing_Retail1,92582,Month
2016,4,2,NTB_Direct1,3466,Month
2016,4,2,NTB_Omni,209,Month
2016,4,2,NTB_Retail1,6625,Month
2016,4,2,React_Direct1,47620,Month
2016,4,2,React_Omni,5417,Month
2016,4,2,React_Retail1,77899,Month
2016,5,2,Existing_Direct1,88637,Month
2016,5,2,Existing_Omni,24581,Month
2016,5,2,Existing_Retail1,127285,Month
2016,5,2,NTB_Direct1,4125,Month
2016,5,2,NTB_Omni,438,Month
2016,5,2,NTB_Retail1,10072,Month
2016,5,2,React_Direct1,47697,Month
2016,5,2,React_Omni,6803,Month
2016,5,2,React_Retail1,82733,Month
2016,6,2,Existing_Direct1,76109,Month
2016,6,2,Existing_Omni,15019,Month
2016,6,2,Existing_Retail1,101720,Month
2016,6,2,NTB_Direct1,2725,Month
2016,6,2,NTB_Omni,246,Month
2016,6,2,NTB_Retail1,7848,Month
2016,6,2,React_Direct1,25867,Month
2016,6,2,React_Omni,2894,Month
2016,6,2,React_Retail1,48177,Month
2016,7,3,Existing_Direct1,79175,Month
2016,7,3,Existing_Omni,15615,Month
2016,7,3,Existing_Retail1,103504,Month
2016,7,3,NTB_Direct1,2330,Month
2016,7,3,NTB_Omni,184,Month
2016,7,3,NTB_Retail1,5622,Month
2016,7,3,React_Direct1,21683,Month
2016,7,3,React_Omni,2168,Month
2016,7,3,React_Retail1,38707,Month
2016,8,3,Existing_Direct1,97429,Month
2016,8,3,Existing_Omni,22976,Month
2016,8,3,Existing_Retail1,140442,Month
2016,8,3,NTB_Direct1,3978,Month
2016,8,3,NTB_Omni,289,Month
2016,8,3,NTB_Retail1,7807,Month
2016,8,3,React_Direct1,32254,Month
2016,8,3,React_Omni,3067,Month
2016,8,3,React_Retail1,49860,Month
2016,9,3,Existing_Direct1,97378,Month
2016,9,3,Existing_Omni,21061,Month
2016,9,3,Existing_Retail1,130418,Month
2016,9,3,NTB_Direct1,3496,Month
2016,9,3,NTB_Omni,275,Month
2016,9,3,NTB_Retail1,6519,Month
2016,9,3,React_Direct1,26128,Month
2016,9,3,React_Omni,2196,Month
2016,9,3,React_Retail1,39789,Month
2016,10,4,Existing_Direct1,111080,Month
2016,10,4,Existing_Omni,22319,Month
2016,10,4,Existing_Retail1,133416,Month
2016,10,4,NTB_Direct1,4798,Month
2016,10,4,NTB_Omni,264,Month
2016,10,4,NTB_Retail1,7736,Month
2016,10,4,React_Direct1,27874,Month
2016,10,4,React_Omni,2247,Month
2016,10,4,React_Retail1,40271,Month
2016,11,4,Existing_Direct1,152743,Month
2016,11,4,Existing_Omni,40472,Month
2016,11,4,Existing_Retail1,170398,Month
2016,11,4,NTB_Direct1,10957,Month
2016,11,4,NTB_Omni,714,Month
2016,11,4,NTB_Retail1,17264,Month
2016,11,4,React_Direct1,40085,Month
2016,11,4,React_Omni,4301,Month
2016,11,4,React_Retail1,65607,Month
2016,12,4,Existing_Direct1,109678,Month
2016,12,4,Existing_Omni,19385,Month
2016,12,4,Existing_Retail1,110322,Month
2016,12,4,NTB_Direct1,3425,Month
2016,12,4,NTB_Omni,279,Month
2016,12,4,NTB_Retail1,7076,Month
2016,12,4,React_Direct1,16052,Month
2016,12,4,React_Omni,1369,Month
2016,12,4,React_Retail1,25218,Month
2017,1,1,Existing_Direct1,91502,Month
2017,1,1,Existing_Omni,14610,Month
2017,1,1,Existing_Retail1,106959,Month
2017,1,1,NTB_Direct1,1869,Month
2017,1,1,NTB_Omni,143,Month
2017,1,1,NTB_Retail1,4315,Month
2017,1,1,React_Direct1,10748,Month
2017,1,1,React_Omni,779,Month
2017,1,1,React_Retail1,18813,Month
2017,2,1,Existing_Direct1,126753,Month
2017,2,1,Existing_Omni,28141,Month
2017,2,1,Existing_Retail1,153333,Month
2017,2,1,NTB_Direct1,4161,Month
2017,2,1,NTB_Omni,318,Month
2017,2,1,NTB_Retail1,7298,Month
2017,2,1,React_Direct1,23214,Month
2017,2,1,React_Omni,2057,Month
2017,2,1,React_Retail1,33076,Month
2017,3,1,Existing_Direct1,117215,Month
2017,3,1,Existing_Omni,24578,Month
2017,3,1,Existing_Retail1,153212,Month
2017,3,1,NTB_Direct1,3507,Month
2017,3,1,NTB_Omni,244,Month
2017,3,1,NTB_Retail1,7069,Month
2017,3,1,React_Direct1,20963,Month
2017,3,1,React_Omni,1694,Month
2017,3,1,React_Retail1,32954,Month
2017,4,2,Existing_Direct1,109388,Month
2017,4,2,Existing_Omni,22963,Month
2017,4,2,Existing_Retail1,153667,Month
2017,4,2,NTB_Direct1,4032,Month
2017,4,2,NTB_Omni,356,Month
2017,4,2,NTB_Retail1,8306,Month
2017,4,2,React_Direct1,19954,Month
2017,4,2,React_Omni,1916,Month
2017,4,2,React_Retail1,36076,Month
2017,5,2,Existing_Direct1,137711,Month
2017,5,2,Existing_Omni,33438,Month
2017,5,2,Existing_Retail1,175212,Month
2017,5,2,NTB_Direct1,4808,Month
2017,5,2,NTB_Omni,570,Month
2017,5,2,NTB_Retail1,9537,Month
2017,5,2,React_Direct1,27804,Month
2017,5,2,React_Omni,3265,Month
2017,5,2,React_Retail1,43982,Month
2017,6,2,Existing_Direct1,113736,Month
2017,6,2,Existing_Omni,23217,Month
2017,6,2,Existing_Retail1,141953,Month
2017,6,2,NTB_Direct1,3308,Month
2017,6,2,NTB_Omni,299,Month
2017,6,2,NTB_Retail1,8185,Month
2017,6,2,React_Direct1,16722,Month
2017,6,2,React_Omni,1687,Month
2017,6,2,React_Retail1,30942,Month
2017,7,3,Existing_Direct1,99497,Month
2017,7,3,Existing_Omni,18053,Month
2017,7,3,Existing_Retail1,124395,Month
2017,7,3,NTB_Direct1,2881,Month
2017,7,3,NTB_Omni,258,Month
2017,7,3,NTB_Retail1,6913,Month
2017,7,3,React_Direct1,14238,Month
2017,7,3,React_Omni,1347,Month
2017,7,3,React_Retail1,26072,Month
2017,8,3,Existing_Direct1,110480,Month
2017,8,3,Existing_Omni,24096,Month
2017,8,3,Existing_Retail1,155441,Month
2017,8,3,NTB_Direct1,3618,Month
2017,8,3,NTB_Omni,272,Month
2017,8,3,NTB_Retail1,7345,Month
2017,8,3,React_Direct1,19980,Month
2017,8,3,React_Omni,1693,Month
2017,8,3,React_Retail1,33839,Month
2017,9,3,Existing_Direct1,115269,Month
2017,9,3,Existing_Omni,23613,Month
2017,9,3,Existing_Retail1,157645,Month
2017,9,3,NTB_Direct1,3272,Month
2017,9,3,NTB_Omni,285,Month
2017,9,3,NTB_Retail1,7012,Month
2017,9,3,React_Direct1,19978,Month
2017,9,3,React_Omni,1795,Month
2017,9,3,React_Retail1,32514,Month
2017,10,4,Existing_Direct1,127085,Month
2017,10,4,Existing_Omni,25156,Month
2017,10,4,Existing_Retail1,164310,Month
2017,10,4,NTB_Direct1,4681,Month
2017,10,4,NTB_Omni,288,Month
2017,10,4,NTB_Retail1,7777,Month
2017,10,4,React_Direct1,25270,Month
2017,10,4,React_Omni,1862,Month
2017,10,4,React_Retail1,36549,Month
2017,11,4,Existing_Direct1,158902,Month
2017,11,4,Existing_Omni,41462,Month
2017,11,4,Existing_Retail1,194237,Month
2017,11,4,NTB_Direct1,9226,Month
2017,11,4,NTB_Omni,583,Month
2017,11,4,NTB_Retail1,15339,Month
2017,11,4,React_Direct1,31651,Month
2017,11,4,React_Omni,3165,Month
2017,11,4,React_Retail1,57026,Month
2017,12,4,Existing_Direct1,141564,Month
2017,12,4,Existing_Omni,26813,Month
2017,12,4,Existing_Retail1,143538,Month
2017,12,4,NTB_Direct1,3765,Month
2017,12,4,NTB_Omni,325,Month
2017,12,4,NTB_Retail1,8034,Month
2017,12,4,React_Direct1,18715,Month
2017,12,4,React_Omni,1708,Month
2017,12,4,React_Retail1,30817,Month
2018,1,1,Existing_Direct1,96827,Month
2018,1,1,Existing_Omni,14872,Month
2018,1,1,Existing_Retail1,117253,Month
2018,1,1,NTB_Direct1,2259,Month
2018,1,1,NTB_Omni,149,Month
2018,1,1,NTB_Retail1,4612,Month
2018,1,1,React_Direct1,14285,Month
2018,1,1,React_Omni,923,Month
2018,1,1,React_Retail1,22845,Month
2018,2,1,Existing_Direct1,142839,Month
2018,2,1,Existing_Omni,35810,Month
2018,2,1,Existing_Retail1,184104,Month
2018,2,1,NTB_Direct1,4190,Month
2018,2,1,NTB_Omni,365,Month
2018,2,1,NTB_Retail1,8620,Month
2018,2,1,React_Direct1,27469,Month
2018,2,1,React_Omni,2773,Month
2018,2,1,React_Retail1,42606,Month
2018,3,1,Existing_Direct1,110255,Month
2018,3,1,Existing_Omni,23113,Month
2018,3,1,Existing_Retail1,161271,Month
2018,3,1,NTB_Direct1,3619,Month
2018,3,1,NTB_Omni,253,Month
2018,3,1,NTB_Retail1,7243,Month
2018,3,1,React_Direct1,22880,Month
2018,3,1,React_Omni,2068,Month
2018,3,1,React_Retail1,37550,Month
2018,4,2,Existing_Direct1,121079,Month
2018,4,2,Existing_Omni,26926,Month
2018,4,2,Existing_Retail1,184873,Month
2018,4,2,NTB_Direct1,4301,Month
2018,4,2,NTB_Omni,390,Month
2018,4,2,NTB_Retail1,8806,Month
2018,4,2,React_Direct1,25813,Month
2018,4,2,React_Omni,2475,Month
2018,4,2,React_Retail1,44438,Month
2018,5,2,Existing_Direct1,135706,Month
2018,5,2,Existing_Omni,32054,Month
2018,5,2,Existing_Retail1,179364,Month
2018,5,2,NTB_Direct1,4047,Month
2018,5,2,NTB_Omni,443,Month
2018,5,2,NTB_Retail1,8924,Month
2018,5,2,React_Direct1,23320,Month
2018,5,2,React_Omni,2776,Month
2018,5,2,React_Retail1,42856,Month
2018,6,2,Existing_Direct1,118279,Month
2018,6,2,Existing_Omni,24299,Month
2018,6,2,Existing_Retail1,151800,Month
2018,6,2,NTB_Direct1,2728,Month
2018,6,2,NTB_Omni,244,Month
2018,6,2,NTB_Retail1,6753,Month
2018,6,2,React_Direct1,16708,Month
2018,6,2,React_Omni,1605,Month
2018,6,2,React_Retail1,32783,Month
2018,7,3,Existing_Direct1,107562,Month
2018,7,3,Existing_Omni,20118,Month
2018,7,3,Existing_Retail1,139672,Month
2018,7,3,NTB_Direct1,2812,Month
2018,7,3,NTB_Omni,243,Month
2018,7,3,NTB_Retail1,6600,Month
2018,7,3,React_Direct1,15682,Month
2018,7,3,React_Omni,1218,Month
2018,7,3,React_Retail1,28925,Month
2018,8,3,Existing_Direct1,120657,Month
2018,8,3,Existing_Omni,28801,Month
2018,8,3,Existing_Retail1,179574,Month
2018,8,3,NTB_Direct1,3860,Month
2018,8,3,NTB_Omni,284,Month
2018,8,3,NTB_Retail1,6806,Month
2018,8,3,React_Direct1,23574,Month
2018,8,3,React_Omni,2382,Month
2018,8,3,React_Retail1,37949,Month
2018,9,3,Existing_Direct1,97204,Month
2018,9,3,Existing_Omni,18615,Month
2018,9,3,Existing_Retail1,152730,Month
2018,9,3,NTB_Direct1,3640,Month
2018,9,3,NTB_Omni,198,Month
2018,9,3,NTB_Retail1,5517,Month
2018,9,3,React_Direct1,21407,Month
2018,9,3,React_Omni,1639,Month
2018,9,3,React_Retail1,31078,Month
2018,10,4,Existing_Direct1,146229,Month
2018,10,4,Existing_Omni,31341,Month
2018,10,4,Existing_Retail1,164930,Month
2018,10,4,NTB_Direct1,7573,Month
2018,10,4,NTB_Omni,300,Month
2018,10,4,NTB_Retail1,7592,Month
2018,10,4,React_Direct1,33225,Month
2018,10,4,React_Omni,2263,Month
