FISCAL_YR,FISCAL_MO,Segment_Channel,investment
2016,1,NTB_Retail1,200.1722735
2016,1,NTB_Direct1,819.9133655
2016,1,NTB_Omni,25.15271225
2016,1,Existing_Retail1,257.4953018
2016,1,Existing_Direct1,1054.710704
2016,1,Existing_Omni,93.75575643
2016,1,React_Retail1,84.88085319
2016,1,React_Direct1,347.68
2016,1,React_Omni,11.02
2016,2,NTB_Retail1,432.9792863
2016,2,NTB_Direct1,1491.73171
2016,2,NTB_Omni,68.16165874
2016,2,Existing_Retail1,559.7265591
2016,2,Existing_Direct1,1928.410627
2016,2,Existing_Omni,260.9961169
2016,2,React_Retail1,173.7622953
2016,2,React_Direct1,598.66
2016,2,React_Omni,29.31
2016,3,NTB_Retail1,374.0647391
2016,3,NTB_Direct1,1618.561301
2016,3,NTB_Omni,61.93503247
2016,3,Existing_Retail1,408.9958017
2016,3,Existing_Direct1,1769.706437
2016,3,Existing_Omni,191.388661
2016,3,React_Retail1,151.0077016
2016,3,React_Direct1,653.4
2016,3,React_Omni,25.89
2016,4,NTB_Retail1,491.1268596
2016,4,NTB_Direct1,1913.864991
2016,4,NTB_Omni,81.89472099
2016,4,Existing_Retail1,550.3066706
2016,4,Existing_Direct1,2144.481921
2016,4,Existing_Omni,235.9720168
2016,4,React_Retail1,169.9280238
2016,4,React_Direct1,662.19
2016,4,React_Omni,28.21
2016,5,NTB_Retail1,360.3501334
2016,5,NTB_Direct1,1710.805527
2016,5,NTB_Omni,91.43664961
2016,5,Existing_Retail1,440.5547702
2016,5,Existing_Direct1,2091.58667
2016,5,Existing_Omni,263.298047
2016,5,React_Retail1,141.2628057
2016,5,React_Direct1,670.66
2016,5,React_Omni,34.86
2016,6,NTB_Retail1,161.6496467
2016,6,NTB_Direct1,942.7440819
2016,6,NTB_Omni,34.38650927
2016,6,Existing_Retail1,185.3470833
2016,6,Existing_Direct1,1080.948022
2016,6,Existing_Omni,114.5994413
2016,6,React_Retail1,61.67913418
2016,6,React_Direct1,359.71
2016,6,React_Omni,14.26
2016,7,NTB_Retail1,192.3444062
2016,7,NTB_Direct1,1033.652689
2016,7,NTB_Omni,37.10293269
2016,7,Existing_Retail1,262.789668
2016,7,Existing_Direct1,1412.223273
2016,7,Existing_Omni,135.4444911
2016,7,React_Retail1,77.75546343
2016,7,React_Direct1,417.86
2016,7,React_Omni,14.7
2016,8,NTB_Retail1,443.2788142
2016,8,NTB_Direct1,1985.863286
2016,8,NTB_Omni,78.8580179
2016,8,Existing_Retail1,533.4058529
2016,8,Existing_Direct1,2389.627173
2016,8,Existing_Omni,272.448948
2016,8,React_Retail1,162.5511548
2016,8,React_Direct1,728.22
2016,8,React_Omni,31.4
2016,9,NTB_Retail1,378.3511093
2016,9,NTB_Direct1,1932.030562
2016,9,NTB_Omni,71.28110069
2016,9,Existing_Retail1,450.5251438
2016,9,Existing_Direct1,2300.583573
2016,9,Existing_Omni,220.5524477
2016,9,React_Retail1,144.5385897
2016,9,React_Direct1,738.08
2016,9,React_Omni,28.34
2016,10,NTB_Retail1,376.288661
2016,10,NTB_Direct1,1517.323607
2016,10,NTB_Omni,53.65318378
2016,10,Existing_Retail1,535.7840148
2016,10,Existing_Direct1,2160.463012
2016,10,Existing_Omni,252.5219721
2016,10,React_Retail1,141.6560814
2016,10,React_Direct1,571.21
2016,10,React_Omni,22.04
2016,11,NTB_Retail1,325.415268
2016,11,NTB_Direct1,1774.060193
2016,11,NTB_Omni,57.80828597
2016,11,Existing_Retail1,360.255314
2016,11,Existing_Direct1,1963.997005
2016,11,Existing_Omni,252.8671272
2016,11,React_Retail1,110.5843951
2016,11,React_Direct1,602.87
2016,11,React_Omni,24.13
2016,12,NTB_Retail1,181.4924831
2016,12,NTB_Direct1,1072.402472
2016,12,NTB_Omni,32.39820757
2016,12,Existing_Retail1,202.2041299
2016,12,Existing_Direct1,1194.783415
2016,12,Existing_Omni,113.924885
2016,12,React_Retail1,61.77905025
2016,12,React_Direct1,365.04
2016,12,React_Omni,12.59
2017,1,NTB_Retail1,121.3046215
2017,1,NTB_Direct1,496.8684163
2017,1,NTB_Omni,15.24257175
2017,1,Existing_Retail1,391.890277
2017,1,Existing_Direct1,1605.197715
2017,1,Existing_Omni,142.6898631
2017,1,React_Retail1,70.80219986
2017,1,React_Direct1,290.008546
2017,1,React_Omni,11.01617948
2017,2,NTB_Retail1,470.2170378
2017,2,NTB_Direct1,1620.025918
2017,2,NTB_Omni,74.02380269
2017,2,Existing_Retail1,696.71535
2017,2,Existing_Direct1,2400.374367
2017,2,Existing_Omni,324.8729187
2017,2,React_Retail1,223.1091497
2017,2,React_Direct1,768.67186
2017,2,React_Omni,29.31488643
2017,3,NTB_Retail1,441.0221397
2017,3,NTB_Direct1,1908.282961
2017,3,NTB_Omni,73.0213722
2017,3,Existing_Retail1,422.5135952
2017,3,Existing_Direct1,1828.197321
2017,3,Existing_Omni,197.7142819
2017,3,React_Retail1,155.546351
2017,3,React_Direct1,673.042064
2017,3,React_Omni,25.88702363
2017,4,NTB_Retail1,468.1521108
2017,4,NTB_Direct1,1824.335033
