"","quarter","Segment_Channel","FISCAL_MO","FISCAL_YR","month_forecast","quarter_forecast","Channel","Segment"
"1",1,"Existing_Direct1",1,2019,96866,58976.359684201,"Direct1","Existing"
"2",1,"Existing_Direct1",2,2019,129348,78752.8562388457,"Direct1","Existing"
"3",1,"Existing_Direct1",3,2019,122651,74675.4226625125,"Direct1","Existing"
"4",1,"Existing_Omni",1,2019,16707,21663.4393171392,"Omni","Existing"
"5",1,"Existing_Omni",2,2019,32992,42779.6845604272,"Omni","Existing"
"6",1,"Existing_Omni",3,2019,26090,33830.07911559,"Omni","Existing"
"7",1,"Existing_Retail1",1,2019,119652,76677.3814033366,"Retail1","Existing"
"8",1,"Existing_Retail1",2,2019,181454,116282.365235525,"Retail1","Existing"
"9",1,"Existing_Retail1",3,2019,166794,106887.700613346,"Retail1","Existing"
"10",1,"NTB_Direct1",1,2019,3055,2977.95652037025,"Direct1","NTB"
"11",1,"NTB_Direct1",2,2019,5258,5125.39947106605,"Direct1","NTB"
"12",1,"NTB_Direct1",3,2019,4936,4811.51992947547,"Direct1","NTB"
"13",1,"NTB_Omni",1,2019,162,283.466108786611,"Omni","NTB"
"14",1,"NTB_Omni",2,2019,341,596.678661087866,"Omni","NTB"
"15",1,"NTB_Omni",3,2019,286,500.440167364017,"Omni","NTB"
"16",1,"NTB_Retail1",1,2019,4600,4500.4498602376,"Retail1","NTB"
"17",1,"NTB_Retail1",2,2019,8595,8408.99272798742,"Retail1","NTB"
"18",1,"NTB_Retail1",3,2019,7465,7303.4474362334,"Retail1","NTB"
"19",1,"React_Direct1",1,2019,15731,15219.144608627,"Direct1","React"
"20",1,"React_Direct1",2,2019,27603,26704.8533870658,"Direct1","React"
"21",1,"React_Direct1",3,2019,26027,25180.133286424,"Direct1","React"
"22",1,"React_Omni",1,2019,964,1716.31903079253,"Omni","React"
"23",1,"React_Omni",2,2019,2465,4388.72034326098,"Omni","React"
"24",1,"React_Omni",3,2019,2127,3786.94043412418,"Omni","React"
"25",1,"React_Retail1",1,2019,21721,21281.4298339726,"Retail1","React"
"26",1,"React_Retail1",2,2019,40802,39976.2856261567,"Retail1","React"
"27",1,"React_Retail1",3,2019,37787,37022.3004988869,"Retail1","React"
"28",2,"Existing_Direct1",4,2019,125282,72574.8480327786,"Direct1","Existing"
"29",2,"Existing_Direct1",5,2019,129962,75285.934132884,"Direct1","Existing"
"30",2,"Existing_Direct1",6,2019,124644,72205.2597994736,"Direct1","Existing"
"31",2,"Existing_Omni",4,2019,29088,37157.6628490443,"Omni","Existing"
"32",2,"Existing_Omni",5,2019,32155,41075.5173580521,"Omni","Existing"
"33",2,"Existing_Omni",6,2019,28337,36198.3186246345,"Omni","Existing"
"34",2,"Existing_Retail1",4,2019,181030,112276.020908708,"Retail1","Existing"
"35",2,"Existing_Retail1",5,2019,183748,113961.742749452,"Retail1","Existing"
"36",2,"Existing_Retail1",6,2019,154056,95546.5650837536,"Retail1","Existing"
"37",2,"NTB_Direct1",4,2019,6630,6405.90229647254,"Direct1","NTB"
"38",2,"NTB_Direct1",5,2019,6076,5870.62780593773,"Direct1","NTB"
"39",2,"NTB_Direct1",6,2019,5247,5069.64846901831,"Direct1","NTB"
"40",2,"NTB_Omni",4,2019,420,752.901728140315,"Omni","NTB"
"41",2,"NTB_Omni",5,2019,481,862.251741036884,"Omni","NTB"
"42",2,"NTB_Omni",6,2019,467,837.15501676554,"Omni","NTB"
"43",2,"NTB_Retail1",4,2019,10309,10010.3305663101,"Retail1","NTB"
"44",2,"NTB_Retail1",5,2019,10927,10610.4260450161,"Retail1","NTB"
"45",2,"NTB_Retail1",6,2019,10570,10263.7689480937,"Retail1","NTB"
"46",2,"React_Direct1",4,2019,29677,28528.6939698492,"Direct1","React"
"47",2,"React_Direct1",5,2019,25181,24206.659798995,"Direct1","React"
"48",2,"React_Direct1",6,2019,19100,18360.9547738693,"Direct1","React"
"49",2,"React_Omni",4,2019,2620,4749.90535191877,"Omni","React"
"50",2,"React_Omni",5,2019,2854,5174.13353983824,"Omni","React"
"51",2,"React_Omni",6,2019,1909,3460.90431939425,"Omni","React"
"52",2,"React_Retail1",4,2019,45355,44142.7965563878,"Retail1","React"
"53",2,"React_Retail1",5,2019,46188,44953.5329588015,"Retail1","React"
"54",2,"React_Retail1",6,2019,35297,34353.6168019143,"Retail1","React"
"55",3,"Existing_Direct1",7,2019,137973.776713686,83940.3014748285,"Direct1","Existing"
"56",3,"Existing_Direct1",8,2019,146139.915427014,88908.4060075068,"Direct1","Existing"
"57",3,"Existing_Direct1",9,2019,136714.517367338,83174.1949603505,"Direct1","Existing"
"58",3,"Existing_Omni",7,2019,26156.5882384924,34125.0284504591,"Omni","Existing"
"59",3,"Existing_Omni",8,2019,31364.9521380598,40920.0876773165,"Omni","Existing"
"60",3,"Existing_Omni",9,2019,25994.0032912722,33912.9130209192,"Omni","Existing"
"61",3,"Existing_Retail1",7,2019,185198.212560526,118398.170962812,"Retail1","Existing"
"62",3,"Existing_Retail1",8,2019,213503.611510759,136493.958269534,"Retail1","Existing"
"63",3,"Existing_Retail1",9,2019,198540.628653582,126928.046277491,"Retail1","Existing"
"64",3,"NTB_Direct1",7,2019,3405.5760089069,3304.85595747963,"Direct1","NTB"
"65",3,"NTB_Direct1",8,2019,4082.5067361664,3961.76643046087,"Direct1","NTB"
"66",3,"NTB_Direct1",9,2019,3196.53168541782,3101.99412851052,"Direct1","NTB"
"67",3,"NTB_Omni",7,2019,393.889940828538,713.475186264498,"Omni","NTB"
"68",3,"NTB_Omni",8,2019,318.055004341812,576.111065410302,"Omni","NTB"
"69",3,"NTB_Omni",9,2019,107.424196202533,194.583538319603,"Omni","NTB"
"70",3,"NTB_Retail1",7,2019,8972.81239680052,8755.56856394818,"Retail1","NTB"
"71",3,"NTB_Retail1",8,2019,7592.76974485155,7408.93859711408,"Retail1","NTB"
"72",3,"NTB_Retail1",9,2019,3568.62648503389,3482.22524745718,"Retail1","NTB"
"73",3,"React_Direct1",7,2019,2917.93020159447,2815.43451257432,"Direct1","React"
"74",3,"React_Direct1",8,2019,4520.98333495682,4362.17854184977,"Direct1","React"
"75",3,"React_Direct1",9,2019,9910.17098768111,9562.06471593587,"Direct1","React"
"76",3,"React_Omni",7,2019,1399.73753722351,2532.48302217056,"Omni","React"
"77",3,"React_Omni",8,2019,1659.11738068743,3001.76746471582,"Omni","React"
"78",3,"React_Omni",9,2019,425.721258295221,770.238584119341,"Omni","React"
"79",3,"React_Retail1",7,2019,10089.4557449875,9875.73224893131,"Retail1","React"
"80",3,"React_Retail1",8,2019,10458.5283470466,10236.9868389188,"Retail1","React"
"81",3,"React_Retail1",9,2019,17263.4198897196,16897.7313386251,"Retail1","React"
"82",4,"Existing_Direct1",10,2019,157634.66132273,89646.1900746962,"Direct1","Existing"
"83",4,"Existing_Direct1",11,2019,174343.253483355,99148.2984063491,"Direct1","Existing"
"84",4,"Existing_Direct1",12,2019,159461.496052666,90685.1035475372,"Direct1","Existing"
"85",4,"Existing_Omni",10,2019,30180.5580659957,39083.2418231692,"Omni","Existing"
"86",4,"Existing_Omni",11,2019,40886.6035938749,52947.3647270926,"Omni","Existing"
"87",4,"Existing_Omni",12,2019,29120.5335961848,37710.5305366017,"Omni","Existing"
"88",4,"Existing_Retail1",10,2019,205961.6796836,123222.393581938,"Retail1","Existing"
"89",4,"Existing_Retail1",11,2019,230765.313619934,138061.868322387,"Retail1","Existing"
"90",4,"Existing_Retail1",12,2019,189930.179343842,113631.095590926,"Retail1","Existing"
"91",4,"NTB_Direct1",10,2019,4658.28207625379,4491.08087501849,"Direct1","NTB"
"92",4,"NTB_Direct1",11,2019,10715.687694579,10331.0661054895,"Direct1","NTB"
"93",4,"NTB_Direct1",12,2019,3010.29362053741,2902.24419347704,"Direct1","NTB"
"94",4,"NTB_Omni",10,2019,90.4718315102159,188.099484238261,"Omni","NTB"
"95",4,"NTB_Omni",11,2019,562.511127951347,1169.51377328957,"Omni","NTB"
"96",4,"NTB_Omni",12,2019,323.26757765058,672.103831789454,"Omni","NTB"
"97",4,"NTB_Retail1",10,2019,4318.70763357166,4182.18218384391,"Retail1","NTB"
"98",4,"NTB_Retail1",11,2019,15343.746728885,14858.6914529998,"Retail1","NTB"
"99",4,"NTB_Retail1",12,2019,7405.92191225317,7171.80168335435,"Retail1","NTB"
"100",4,"React_Direct1",10,2019,1262.24481441624,1209.37752409015,"Direct1","React"
"101",4,"React_Direct1",11,2019,10013.3266102077,9593.93297199603,"Direct1","React"
"102",4,"React_Direct1",12,2019,2368.30122570637,2269.10836941648,"Direct1","React"
"103",4,"React_Omni",10,2019,680.871194302759,1366.71490712465,"Omni","React"
"104",4,"React_Omni",11,2019,2094.99617910346,4205.29247280315,"Omni","React"
"105",4,"React_Omni",12,2019,1029.42805710491,2066.37420297741,"Omni","React"
"106",4,"React_Retail1",10,2019,18200.2914752616,17718.4871583572,"Retail1","React"
"107",4,"React_Retail1",11,2019,24999.4964307214,24337.7012436976,"Retail1","React"
"108",4,"React_Retail1",12,2019,7962.39340720298,7751.61021608232,"Retail1","React"
