FISCAL_YR|FISCAL_QTR|Customer_Type|cust_quarter|FISCAL_MO|cust_month
2017|1|Existing_Direct1|201278|1|90753
2017|1|Existing_Direct1|201278|2|124572
2017|1|Existing_Direct1|201278|3|115265
2017|1|Existing_Omni|86209|1|14515
2017|1|Existing_Omni|86209|2|27735
2017|1|Existing_Omni|86209|3|24235
2017|1|Existing_Retail1|261205|1|105854
2017|1|Existing_Retail1|261205|2|150982
2017|1|Existing_Retail1|261205|3|150764
2017|1|NTB_Direct1|30961|1|5530
2017|1|NTB_Direct1|30961|2|13769
2017|1|NTB_Direct1|30961|3|12463
2017|1|NTB_Omni|4182|1|386
2017|1|NTB_Omni|4182|2|1069
2017|1|NTB_Omni|4182|3|935
2017|1|NTB_Retail1|44801|1|10166
2017|1|NTB_Retail1|44801|2|17958
2017|1|NTB_Retail1|44801|3|17668
2017|1|React_Direct1|45373|1|9526
2017|1|React_Direct1|45373|2|19777
2017|1|React_Direct1|45373|3|17596
2017|1|React_Omni|7054|1|690
2017|1|React_Omni|7054|2|1808
2017|1|React_Omni|7054|3|1464
2017|1|React_Retail1|73057|1|16689
2017|1|React_Retail1|73057|2|28971
2017|1|React_Retail1|73057|3|28906
2017|2|Existing_Direct1|205571|4|107468
2017|2|Existing_Direct1|205571|5|134988
2017|2|Existing_Direct1|205571|6|112410
2017|2|Existing_Omni|100049|4|22583
2017|2|Existing_Omni|100049|5|32763
2017|2|Existing_Omni|100049|6|22975
2017|2|Existing_Retail1|287134|4|151017
2017|2|Existing_Retail1|287134|5|172009
2017|2|Existing_Retail1|287134|6|139939
2017|2|NTB_Direct1|37361|4|12771
2017|2|NTB_Direct1|37361|5|16431
2017|2|NTB_Direct1|37361|6|9466
2017|2|NTB_Omni|6950|4|1129
2017|2|NTB_Omni|6950|5|1871
2017|2|NTB_Omni|6950|6|877
2017|2|NTB_Retail1|59190|4|19795
2017|2|NTB_Retail1|59190|5|23681
2017|2|NTB_Retail1|59190|6|17480
2017|2|React_Direct1|51651|4|16632
2017|2|React_Direct1|51651|5|23048
2017|2|React_Direct1|51651|6|14050
2017|2|React_Omni|10535|4|1623
2017|2|React_Omni|10535|5|2745
2017|2|React_Omni|10535|6|1443
2017|2|React_Retail1|93551|4|31540
2017|2|React_Retail1|93551|5|37960
2017|2|React_Retail1|93551|6|26620
2017|3|Existing_Direct1|195177|7|98482
2017|3|Existing_Direct1|195177|8|108843
2017|3|Existing_Direct1|195177|9|113490
2017|3|Existing_Omni|84734|7|17867
2017|3|Existing_Omni|84734|8|23817
2017|3|Existing_Omni|84734|9|23264
2017|3|Existing_Retail1|275724|7|122728
2017|3|Existing_Retail1|275724|8|153238
2017|3|Existing_Retail1|275724|9|155321
2017|3|NTB_Direct1|29892|7|8041
2017|3|NTB_Direct1|29892|8|11413
2017|3|NTB_Direct1|29892|9|11349
2017|3|NTB_Omni|4753|7|712
2017|3|NTB_Omni|4753|8|902
2017|3|NTB_Omni|4753|9|1010
2017|3|NTB_Retail1|49089|7|14949
2017|3|NTB_Retail1|49089|8|17623
2017|3|NTB_Retail1|49089|9|17735
2017|3|React_Direct1|43593|7|11962
2017|3|React_Direct1|43593|8|16615
2017|3|React_Direct1|43593|9|16603
2017|3|React_Omni|7389|7|1147
2017|3|React_Omni|7389|8|1457
2017|3|React_Omni|7389|9|1480
2017|3|React_Retail1|77537|7|22316
2017|3|React_Retail1|77537|8|29178
2017|3|React_Retail1|77537|9|27721
2017|4|Existing_Direct1|239864|10|124891
2017|4|Existing_Direct1|239864|11|156397
2017|4|Existing_Direct1|239864|12|140491
2017|4|Existing_Omni|119765|10|24794
2017|4|Existing_Omni|119765|11|41044
2017|4|Existing_Omni|119765|12|26646
2017|4|Existing_Retail1|295291|10|161627
2017|4|Existing_Retail1|295291|11|190399
2017|4|Existing_Retail1|295291|12|141542
2017|4|NTB_Direct1|44427|10|15245
2017|4|NTB_Direct1|44427|11|21445
2017|4|NTB_Direct1|44427|12|9391
2017|4|NTB_Omni|7439|10|1056
2017|4|NTB_Omni|7439|11|1655
2017|4|NTB_Omni|7439|12|867
2017|4|NTB_Retail1|67607|10|20085
2017|4|NTB_Retail1|67607|11|32483
2017|4|NTB_Retail1|67607|12|17246
2017|4|React_Direct1|59271|10|20477
2017|4|React_Direct1|59271|11|25585
2017|4|React_Direct1|59271|12|15800
2017|4|React_Omni|11269|10|1551
2017|4|React_Omni|11269|11|2625
2017|4|React_Omni|11269|12|1438
2017|4|React_Retail1|102934|10|30936
2017|4|React_Retail1|102934|11|48636
2017|4|React_Retail1|102934|12|26161
